,loss,sparse_accuracy
0,44.9334105982738,0.8033035054574017
1,13.312142608622533,0.9130286669287839
2,6.00157422063422,0.9416342236962931
3,4.501632105273013,0.9363562510971495
4,3.6996883802483325,0.930312339490522
5,3.1832946584218917,0.9291921963398747
6,2.942976758088811,0.925257595874845
7,2.5951995680962443,0.9235742619756546
8,2.4313741420292527,0.920354005590792
9,2.2800899865459607,0.915867838535756
10,2.1725302525075483,0.9147721282782435
11,2.029167113616376,0.9163059962306567
12,1.908672277640217,0.9114427487987035
13,1.8442688325575116,0.9120253206455814
14,1.8041796797981355,0.9124259927047291
15,1.6827394982548423,0.9110888973203704
16,1.5854641818768958,0.9091892129197271
17,1.4806409354352528,0.9095655763062529
