,TP,TP+FP,TP+FN,precision,recall,f1
ANATOMY,2788,3286,3094,0.8484,0.9011,0.874
DISEASE,1176,1332,1323,0.8829,0.8889,0.8859
DRUG,470,497,485,0.9457,0.9691,0.9572
OPERATION,143,158,162,0.9051,0.8827,0.8938
TESTIMAGE,326,366,348,0.8907,0.9368,0.9132
TESTLAB,466,603,590,0.7728,0.7898,0.7812
