,TP,TP+FP,TP+FN,precision,recall,f1
bod,3390,5009,5883,0.6768,0.5762,0.6225
dep,43,63,110,0.6825,0.3909,0.4971
dis,4035,5522,4935,0.7307,0.8176,0.7717
dru,1227,1528,1440,0.803,0.8521,0.8268
equ,129,215,238,0.6,0.542,0.5695
ite,352,659,923,0.5341,0.3814,0.445
mic,471,603,584,0.7811,0.8065,0.7936
pro,1406,2243,2057,0.6268,0.6835,0.654
sym,1700,3123,4130,0.5443,0.4116,0.4688
