,epoch,path,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0,1,yidu_albert_tiny_ep01.h5,0.22425629290635601,0.05283018867929634,0.08551483420601348,0.27338129496420305,0.06329816768467167,0.10279531109115393
1,2,yidu_albert_tiny_ep02.h5,0.680666666666688,0.5504043126684879,0.6086438152012156,0.7380148548278367,0.6068850638534367,0.6660572821450539
2,3,yidu_albert_tiny_ep03.h5,0.749705535924632,0.6862533692722541,0.7165775401069678,0.8100183262064868,0.7362576346474328,0.7713787085514967
3,4,yidu_albert_tiny_ep04.h5,0.7564389697648513,0.7283018867924674,0.7421038176325327,0.8002316155182513,0.7673514714047881,0.7834467120181529
4,5,yidu_albert_tiny_ep05.h5,0.754305396096455,0.7083557951482637,0.7306088407005988,0.8174322732626728,0.7706829539145047,0.7933695341526269
5,6,yidu_albert_tiny_ep06.h5,0.7930648769575059,0.7644204851752149,0.7784792753225486,0.8287010777084612,0.8112159911160571,0.81986531986533
6,7,yidu_albert_tiny_ep07.h5,0.7720348204570309,0.7649595687331663,0.7684809098294195,0.8021006080707682,0.8056635202665294,0.8038781163435011
7,8,yidu_albert_tiny_ep08.h5,0.7890455531453476,0.7843665768194187,0.7866991078670026,0.827566964285724,0.8234314269850181,0.8254940161425091
8,9,yidu_albert_tiny_ep09.h5,0.7946035242290862,0.7778975741240012,0.7861618087714636,0.8412429378531163,0.8267629094947347,0.8339400728087464
9,10,yidu_albert_tiny_ep10.h5,0.8069476082004666,0.7638814016172634,0.7848241484353484,0.8490456911509631,0.8151027207107265,0.8317280453257886
10,11,yidu_albert_tiny_ep11.h5,0.7914075749010858,0.7547169811320887,0.7726269315673415,0.8359329867128922,0.8034425319267183,0.8193657984145063
11,12,yidu_albert_tiny_ep12.h5,0.8042998897464275,0.7865229110512244,0.7953120741346528,0.8430493273542689,0.8350916157690264,0.8390516039051694
12,13,yidu_albert_tiny_ep13.h5,0.8035908596300433,0.7962264150943507,0.7998916869753696,0.8415453527435699,0.8345363686840735,0.8380262057429697
13,14,yidu_albert_tiny_ep14.h5,0.7991360691144817,0.797843665768205,0.7984893444834207,0.837716843872421,0.831204886174357,0.8344481605351263
14,15,yidu_albert_tiny_ep15.h5,0.7984994640943303,0.8032345013477195,0.8008599838753131,0.8298342541436559,0.8339811215991209,0.8319025200775502
15,16,yidu_albert_tiny_ep16.h5,0.7933478735005566,0.7843665768194187,0.7888316616969483,0.8453318335208186,0.8345363686840735,0.8398994132439318
16,17,yidu_albert_tiny_ep17.h5,0.7954298150163333,0.7881401617250788,0.791768210127279,0.834078212290512,0.8289838978345458,0.8315232525758935
17,18,yidu_albert_tiny_ep18.h5,0.7908847184986707,0.7951482479784477,0.7930107526881832,0.8301991150442571,0.833425874514168,0.8318093654752102
18,19,yidu_albert_tiny_ep19.h5,0.7856761090326143,0.7924528301886904,0.7890499194847134,0.8298342541436559,0.8339811215991209,0.8319025200775502
19,20,yidu_albert_tiny_ep20.h5,0.7980349344978276,0.7881401617250788,0.793056685652303,0.8398195149464276,0.8267629094947347,0.8332400671516601
20,21,yidu_albert_tiny_ep21.h5,0.7911014650027243,0.785983827493273,0.788534342888059,0.8375350140056114,0.8300943920044515,0.8337981037367633
21,22,yidu_albert_tiny_ep22.h5,0.7926960257787437,0.7956873315363991,0.7941888619854832,0.8381858902575678,0.831204886174357,0.834680791747988
22,23,yidu_albert_tiny_ep23.h5,0.7953688745288209,0.7962264150943507,0.7957974137931144,0.8326826547685536,0.8289838978345458,0.8308291597106382
23,24,yidu_albert_tiny_ep24.h5,0.7989189189189297,0.7967654986523021,0.7978407557355035,0.8369747899159755,0.8295391449194986,0.8332403792526585
