,TP,TP+FP,TP+FN,precision,recall,f1
ANATOMY,2615,3166,3094,0.826,0.8452,0.8355
DISEASE,1021,1295,1323,0.7884,0.7717,0.78
DRUG,388,444,485,0.8739,0.8,0.8353
OPERATION,128,155,162,0.8258,0.7901,0.8076
TESTIMAGE,291,341,348,0.8534,0.8362,0.8447
TESTLAB,358,478,590,0.749,0.6068,0.6704
